Rank,Name,Platform
694,Pokemon Ranger: Shadows of Almia,DS
695,Dead Island,PS3
696,Tomb Raider II,PC
697,God of War: Ascension,PS3
698,Need for Speed Underground 2,XB
699,Pro Evolution Soccer 2010,PS3
700,Just Dance 2015,Wii
701,Yokai Watch Busters,3DS
702,Mario Bros.,NES
703,FIFA Soccer 09,PS2
704,Star Wars: The Force Unleashed,PS3
705,Borderlands 2,PS3
706,TOCA Touring Car Championship,PS
707,Paper Mario: Sticker Star,3DS
708,Sonic's Ultimate Genesis Collection,PS3
709,Super Monkey Ball: Banana Blitz,Wii
710,Kirby: Nightmare in Dream Land,GBA
711,Wario Land 4,GBA
712,Guitar Hero III: Legends of Rock,PS3
713,Call of Duty 3,Wii
714,Resident Evil 4,Wii
715,Minecraft,PSV
716,Onimusha 2: Samurai's Destiny,PS2
717,Cool Boarders 2,PS
718,Paper Mario: The Thousand-Year Door,GC
719,Madden NFL 12,PS3
720,Monster Hunter Tri,Wii
721,Dissidia: Final Fantasy,PSP
722,Sonic Advance,GBA
723,Spyro: Season of Ice,GBA
724,Teenage Mutant Ninja Turtles II: The Arcade Game,NES
725,LEGO Indiana Jones: The Original Adventures,DS
726,Dance Dance Revolution X2,PS2
727,New Super Luigi U,WiiU
728,Prince of Persia: The Sands of Time,PS2
729,Scribblenauts,DS
730,The Legend of Zelda: Link's Awakening DX,GB
731,Need for Speed: Hot Pursuit,X360
732,BioShock 2,X360
733,Assassin's Creed IV: Black Flag,XOne
734,Devil May Cry 3: Dante's Awakening Special Edition,PS2
735,Rock Band 2,X360
736,Frogger,2600
737,Guitar Hero II,X360
738,Wario Land 3,GB
739,Pro Yakyuu Family Stadium,NES
740,Sonic Unleashed,Wii
741,High School Musical: Makin' the Cut!,DS
742,Pro Evolution Soccer 2012,PS3
743,Saints Row,X360
744,Star Wars: Knights of the Old Republic,XB
745,Kirby's Pinball Land,GB
746,Donkey Kong Country,GB
747,Hitman: Absolution,PS3
748,Yu-Gi-Oh: Duel Monsters 4,GB
749,ATV Offroad Fury 2,PS2
750,Forza Motorsport 5,XOne
751,Madden NFL 25,X360
752,Pokemon Ranger,DS
753,Mario & Luigi: Superstar Saga,GBA
754,Final Fantasy XIII,X360
755,Star Wars: Rogue Squadron,N64
756,Tennis,NES
757,The Sims: House Party,PC
758,Your Shape featuring Jenny McCarthy,Wii
759,Syphon Filter 2,PS
760,Tom Clancy's Rainbow Six: Siege,PS4
761,Volleyball,NES
762,FIFA 15,XOne
763,Call of Duty: Roads to Victory,PSP
764,Super Mario RPG: Legend of the Seven Stars,SNES
765,Mahjong,NES
766,R.C. Pro-Am,NES
767,SimCity 2000,PC
768,Demon Attack,2600
769,Dance Dance Revolution Extreme,PS2
770,Tetris DS,DS
771,Final Fantasy Tactics Advance,GBA
772,Far Cry: Primal,PS4
773,Toy Story 3: The Video Game,DS
774,Final Fantasy III,DS
775,Kirby's Epic Yarn,Wii
776,Project Gotham Racing,XB
777,Golf,GB
778,NBA 2K12,PS3
779,Borderlands,PS3
